color	  大区名称	省	城市	2022年计划(万元)	1-8月计划(万元)	1-8月同期(万元)	1-8月实绩(万元)	完成率	同期比	进度
1	  甘肃大区	甘肃省	金昌市	321.3 	210.7 	312.0 	274.1 	130.1%	87.9%	85.3%
1	  甘肃大区	甘肃省	酒泉市	391.4 	257.2 	255.8 	286.7 	111.5%	112.1%	73.3%
2	  甘肃大区	甘肃省	兰州市	2532.5 	1641.7 	1960.7 	1497.0 	91.2%	76.4%	59.1%
4	  甘肃大区	甘肃省	临夏回族自治州	319.1 	212.6 	172.7 	124.8 	58.7%	72.2%	39.1%
1	  甘肃大区	甘肃省	陇南市	489.4 	313.3 	314.8 	343.9 	109.8%	109.2%	70.3%
1	  甘肃大区	甘肃省	平凉市	568.4 	380.6 	377.1 	433.7 	114.0%	115.0%	76.3%
2	  甘肃大区	甘肃省	庆阳市	1901.8 	1222.6 	1064.0 	1122.6 	91.8%	105.5%	59.0%
3	  甘肃大区	甘肃省	天水市	402.1 	261.4 	199.7 	210.5 	80.5%	105.4%	52.4%
2	  甘肃大区	甘肃省	武威市	537.7 	340.1 	350.2 	321.8 	94.6%	91.9%	59.9%
1	  甘肃大区	甘肃省	张掖市	398.6 	258.6 	285.5 	273.6 	105.8%	95.8%	68.7%
4	  甘肃大区	宁夏回族自治区	固原市	94.6 	60.4 	56.5 	42.8 	70.9%	75.8%	45.2%
3	  甘肃大区	宁夏回族自治区	石嘴山市	226.7 	148.9 	139.0 	122.4 	82.2%	88.0%	54.0%
3	  甘肃大区	宁夏回族自治区	吴忠市	133.3 	86.6 	75.9 	76.1 	87.8%	100.2%	57.1%
1	  甘肃大区	宁夏回族自治区	银川市	766.6 	485.4 	439.8 	568.2 	117.0%	129.2%	74.1%
1	  甘肃大区	宁夏回族自治区	中卫市	264.1 	168.7 	154.8 	174.1 	103.2%	112.4%	65.9%
1	  甘肃大区	青海省	果洛藏族自治州	3.9 	1.4 	0.3 	1.5 	108.9%	442.1%	39.3%
1	  甘肃大区	青海省	海北藏族自治州	43.8 	27.1 	18.6 	28.4 	104.6%	152.3%	64.8%
2	  甘肃大区	青海省	海东市	226.2 	141.6 	111.9 	134.8 	95.2%	120.4%	59.6%
4	  甘肃大区	青海省	海南藏族自治州	40.5 	26.8 	21.8 	19.5 	72.8%	89.4%	48.1%
4	  甘肃大区	青海省	海西蒙古族藏族自治州	173.6 	105.0 	102.2 	68.0 	64.7%	66.5%	39.1%
4	  甘肃大区	青海省	黄南藏族自治州	9.0 	6.2 	2.2 	3.3 	53.8%	150.9%	37.1%
1	  甘肃大区	青海省	西宁市	1485.8 	987.7 	931.4 	1049.7 	106.3%	112.7%	70.6%
4	  甘肃大区	青海省	玉树藏族自治州	11.9 	6.3 	3.4 	1.4 	23.0%	41.9%	12.2%
1	贵州大区	贵州省	安顺市	342.7 	228.1 	187.1 	262.3 	115.0%	140.2%	76.6%
4	贵州大区	贵州省	毕节市	685.5 	428.9 	380.7 	333.6 	77.8%	87.6%	48.7%
2	贵州大区	贵州省	贵阳市	3218.7 	2189.0 	2327.0 	2026.5 	92.6%	87.1%	63.0%
4	贵州大区	贵州省	六盘水市	566.9 	376.9 	325.5 	299.6 	79.5%	92.0%	52.8%
2	贵州大区	贵州省	黔东南苗族侗族自治州	475.4 	303.3 	283.6 	296.8 	97.9%	104.7%	62.4%
2	贵州大区	贵州省	黔南布依族苗族自治州	902.5 	583.9 	509.4 	538.9 	92.3%	105.8%	59.7%
3	贵州大区	贵州省	黔西南布依族苗族自治州	398.8 	266.0 	249.6 	228.5 	85.9%	91.6%	57.3%
2	贵州大区	贵州省	铜仁市	860.1 	552.8 	440.1 	525.0 	95.0%	119.3%	61.0%
2	贵州大区	贵州省	遵义市	2321.0 	1515.5 	1360.0 	1469.6 	97.0%	108.1%	63.3%
1	陕西大区	陕西省	安康市	1200.8 	771.2 	804.8 	818.0 	106.1%	101.6%	68.1%
2	陕西大区	陕西省	宝鸡市	1817.6 	1143.9 	1085.9 	1087.4 	95.1%	100.1%	59.8%
2	陕西大区	陕西省	汉中市	1153.3 	733.3 	782.8 	715.3 	97.5%	91.4%	62.0%
3	陕西大区	陕西省	商洛市	435.9 	260.1 	209.6 	210.4 	80.9%	100.4%	48.3%
1	陕西大区	陕西省	铜川市	168.8 	108.3 	106.7 	172.7 	159.5%	161.9%	102.3%
2	陕西大区	陕西省	渭南市	1644.9 	1013.7 	959.1 	928.9 	91.6%	96.9%	56.5%
3	陕西大区	陕西省	西安市	4454.7 	2782.0 	3816.4 	2454.7 	88.2%	64.3%	55.1%
3	陕西大区	陕西省	咸阳市	1145.7 	719.7 	715.2 	638.6 	88.7%	89.3%	55.7%
4	陕西大区	陕西省	延安市	474.7 	303.4 	325.2 	232.2 	76.5%	71.4%	48.9%
2	陕西大区	陕西省	榆林市	1083.3 	689.4 	661.7 	680.6 	98.7%	102.9%	62.8%
2	新疆大区	新疆维吾尔自治区	阿克苏地区	518.9 	326.9 	284.4 	294.8 	90.2%	103.7%	56.8%
1	新疆大区	新疆维吾尔自治区	阿拉尔市	44.8 	29.8 	54.1 	66.8 	223.7%	123.4%	148.9%
4	新疆大区	新疆维吾尔自治区	阿勒泰地区	323.3 	206.0 	189.3 	153.4 	74.5%	81.0%	47.4%
4	新疆大区	新疆维吾尔自治区	巴音郭楞蒙古自治州	830.1 	507.9 	485.6 	399.6 	78.7%	82.3%	48.1%
3	新疆大区	新疆维吾尔自治区	博尔塔拉蒙古自治州	141.8 	93.2 	82.8 	77.2 	82.9%	93.2%	54.5%
3	新疆大区	新疆维吾尔自治区	昌吉回族自治州	947.5 	616.4 	568.1 	505.7 	82.0%	89.0%	53.4%
3	新疆大区	新疆维吾尔自治区	哈密市	498.4 	317.8 	359.4 	277.9 	87.4%	77.3%	55.8%
1	新疆大区	新疆维吾尔自治区	和田地区	53.7 	34.4 	53.2 	36.9 	107.1%	69.3%	68.7%
4	新疆大区	新疆维吾尔自治区	喀什地区	241.1 	159.3 	138.6 	124.0 	77.9%	89.5%	51.5%
3	新疆大区	新疆维吾尔自治区	克拉玛依市	544.0 	351.9 	294.9 	285.8 	81.2%	96.9%	52.5%
4	新疆大区	新疆维吾尔自治区	克孜勒苏柯尔克孜自治州	25.1 	16.7 	20.2 	11.5 	69.0%	57.1%	45.9%
2	新疆大区	新疆维吾尔自治区	石河子市	272.4 	181.4 	135.5 	172.8 	95.3%	127.5%	63.4%
2	新疆大区	新疆维吾尔自治区	塔城地区	246.7 	157.5 	141.5 	152.8 	97.0%	108.0%	61.9%
1	新疆大区	新疆维吾尔自治区	图木舒克市	14.5 	9.1 	8.3 	13.1 	142.8%	156.7%	89.8%
4	新疆大区	新疆维吾尔自治区	吐鲁番市	162.1 	102.2 	99.9 	74.1 	72.6%	74.2%	45.7%
4	新疆大区	新疆维吾尔自治区	乌鲁木齐市	4964.8 	3142.4 	3404.4 	2456.2 	78.2%	72.1%	49.5%
4	新疆大区	新疆维吾尔自治区	五家渠市	133.2 	85.8 	94.0 	67.0 	78.1%	71.3%	50.3%
2	新疆大区	新疆维吾尔自治区	伊犁哈萨克自治州	883.4 	577.2 	548.7 	569.0 	98.6%	103.7%	64.4%
1	新疆大区	新疆维吾尔自治区	胡杨河市	103.2 	69.0 	54.7 	70.6 	102.4%	129.1%	68.4%
1	云南大区	云南省	保山市	150.2 	94.9 	85.5 	114.9 	121.1%	134.4%	76.5%
3	云南大区	云南省	楚雄彝族自治州	453.3 	284.6 	252.5 	248.3 	87.2%	98.4%	54.8%
1	云南大区	云南省	大理白族自治州	898.5 	565.3 	518.0 	585.2 	103.5%	113.0%	65.1%
1	云南大区	云南省	德宏傣族景颇族自治州	22.7 	12.8 	19.1 	14.0 	109.4%	72.9%	61.6%
4	云南大区	云南省	迪庆藏族自治州	27.1 	16.5 	13.5 	11.9 	72.1%	87.7%	43.8%
3	云南大区	云南省	红河哈尼族彝族自治州	342.5 	217.4 	186.4 	181.4 	83.4%	97.3%	53.0%
1	云南大区	云南省	昆明市	3401.5 	2177.4 	2218.7 	2346.0 	107.7%	105.7%	69.0%
4	云南大区	云南省	丽江市	145.8 	96.8 	76.8 	73.5 	75.9%	95.8%	50.4%
1	云南大区	云南省	临沧市	187.5 	119.7 	96.6 	125.8 	105.1%	130.3%	67.1%
4	云南大区	云南省	怒江傈僳族自治州	31.0 	21.2 	11.7 	7.9 	37.5%	67.7%	25.6%
3	云南大区	云南省	普洱市	441.1 	284.1 	261.5 	243.8 	85.8%	93.3%	55.3%
3	云南大区	云南省	曲靖市	367.5 	223.5 	190.5 	185.4 	83.0%	97.3%	50.5%
3	云南大区	云南省	文山壮族苗族自治州	179.1 	115.6 	82.0 	93.6 	81.0%	114.1%	52.2%
1	云南大区	云南省	西双版纳傣族自治州	183.5 	118.4 	103.1 	152.0 	128.4%	147.5%	82.9%
3	云南大区	云南省	玉溪市	218.7 	138.4 	133.9 	123.9 	89.6%	92.6%	56.7%
1	云南大区	云南省	昭通市	89.6 	55.1 	51.8 	76.8 	139.4%	148.1%	85.6%
1	重庆大区	重庆市	重庆市	11163.6 	7049.4 	7291.9 	7138.1 	101.3%	97.9%	63.9%
